Size;Time
32;0.000199 
64;0.001238 
128;0.009602 
256;0.069803 
512;0.632541 
1024;7.160651 
2048;116.900457 
32;0.000184 
64;0.001222 
128;0.009903 
256;0.079642 
512;0.632906 
1024;7.157203 
2048;110.575589 
32;0.000316 
64;0.001233 
128;0.010876 
256;0.071299 
512;0.628400 
1024;7.419610 
2048;118.125849 
32;0.000218 
64;0.001228 
128;0.009285 
256;0.069624 
512;0.659120 
1024;7.135937 
2048;120.001061 
32;0.000183 
64;0.001238 
128;0.009389 
256;0.071571 
512;0.632322 
1024;7.320038 
2048;127.014376 
32;0.000185 
64;0.001309 
128;0.009988 
256;0.072075 
512;0.651040 
1024;8.298432 
2048;126.302877 
32;0.000204 
64;0.002288 
128;0.009400 
256;0.075314 
512;0.693639 
1024;8.330001 
2048;122.993659 
32;0.000185 
64;0.001224 
128;0.010281 
256;0.071286 
512;0.660215 
1024;8.134422 
2048;121.746712 
32;0.000219 
64;0.001226 
128;0.010049 
256;0.070636 
512;0.670672 
1024;8.103970 
2048;122.910551 
32;0.000195 
64;0.002245 
128;0.016107 
256;0.074970 
512;0.649403 
1024;8.207216 
2048;124.096250 

